timestamp,sensor_id,data
1757593144.7669702,BME280_1,"{""sensor_id"": ""BME280_1"", ""timestamp"": 1757593144.7669702, ""temperature"": 21.59, ""humidity"": 62.68, ""pressure"": 1014.83, ""units"": {""temperature"": ""\u00b0C"", ""humidity"": ""%"", ""pressure"": ""hPa""}}"
1757593145.774768,BME280_1,"{""sensor_id"": ""BME280_1"", ""timestamp"": 1757593145.774768, ""temperature"": 24.12, ""humidity"": 49.88, ""pressure"": 1012.63, ""units"": {""temperature"": ""\u00b0C"", ""humidity"": ""%"", ""pressure"": ""hPa""}}"
1757593146.7798991,BME280_1,"{""sensor_id"": ""BME280_1"", ""timestamp"": 1757593146.7798991, ""temperature"": 22.96, ""humidity"": 46.52, ""pressure"": 1004.52, ""units"": {""temperature"": ""\u00b0C"", ""humidity"": ""%"", ""pressure"": ""hPa""}}"
1757593147.7859166,BME280_1,"{""sensor_id"": ""BME280_1"", ""timestamp"": 1757593147.7859166, ""temperature"": 21.56, ""humidity"": 57.44, ""pressure"": 1011.92, ""units"": {""temperature"": ""\u00b0C"", ""humidity"": ""%"", ""pressure"": ""hPa""}}"
1757593148.7914321,BME280_1,"{""sensor_id"": ""BME280_1"", ""timestamp"": 1757593148.7914321, ""temperature"": 23.18, ""humidity"": 40.37, ""pressure"": 1013.71, ""units"": {""temperature"": ""\u00b0C"", ""humidity"": ""%"", ""pressure"": ""hPa""}}"
1757593173.538431,BME280_1,"{""sensor_id"": ""BME280_1"", ""timestamp"": 1757593173.538431, ""temperature"": 23.52, ""humidity"": 62.19, ""pressure"": 1004.57, ""units"": {""temperature"": ""\u00b0C"", ""humidity"": ""%"", ""pressure"": ""hPa""}}"
1757593174.5436935,BME280_1,"{""sensor_id"": ""BME280_1"", ""timestamp"": 1757593174.5436935, ""temperature"": 24.7, ""humidity"": 50.39, ""pressure"": 1017.46, ""units"": {""temperature"": ""\u00b0C"", ""humidity"": ""%"", ""pressure"": ""hPa""}}"
1757593175.5519192,BME280_1,"{""sensor_id"": ""BME280_1"", ""timestamp"": 1757593175.5519192, ""temperature"": 24.1, ""humidity"": 40.99, ""pressure"": 1002.16, ""units"": {""temperature"": ""\u00b0C"", ""humidity"": ""%"", ""pressure"": ""hPa""}}"
1757593176.5543625,BME280_1,"{""sensor_id"": ""BME280_1"", ""timestamp"": 1757593176.5543625, ""temperature"": 23.0, ""humidity"": 69.51, ""pressure"": 1004.04, ""units"": {""temperature"": ""\u00b0C"", ""humidity"": ""%"", ""pressure"": ""hPa""}}"
1757593177.558848,BME280_1,"{""sensor_id"": ""BME280_1"", ""timestamp"": 1757593177.558848, ""temperature"": 18.89, ""humidity"": 67.21, ""pressure"": 1009.56, ""units"": {""temperature"": ""\u00b0C"", ""humidity"": ""%"", ""pressure"": ""hPa""}}"
